АСБл 4x50;1кВ;85;Волгоград
АСБл 4x95;1кВ;35;Волгоград
АСБл 3x120;10кВ;1981;Волгоград
АСБл 3x120;(мн) 10кВ;790;Волгоград
АСБл 3x120;(ож) 10кВ;296;Волгоград
АСБл 3x150;10кВ;2282;Волгоград
АСБл 3x150;(мн) 10кВ;1375;Волгоград
АСБл 3x150;(ож) 10кВ;1890;Волгоград
АСБл 3x185;10кВ;17;Волгоград
АСБл 3x185;(ож) 10кВ;1589;Волгоград
АСБл 3x240;(мн) 10кВ;600;Волгоград
АСБл 3x240;(ож) 10кВ;10319;Волгоград
АСБл 3x50;10кВ;2237;Волгоград
АСБл 3x50;(ож) 10кВ;376;Волгоград
АСБл 3x70;10кВ;53;Волгоград
АСБл 3x70;(ож) 10кВ;440;Волгоград
АСБл 3x95;10кВ;1369;Волгоград
АСБл 3x95;(ож) 10кВ;2073;Волгоград
АСБл 4x150;;300;Волгоград
АСБл 4x185;;52;Волгоград
АСБл 4x185;(ож);210;Волгоград
АСБл 3x240;(ож) 6кВ;2785;Волгоград
АСБл 3x120;;1613;Красноярск
АСБл 3x150;;5665;Красноярск
АСБл 3x185;;1961;Красноярск
АСБл 3x240;;1285;Красноярск
АСБл 3x35;;1320;Красноярск
АСБл 3x70;;2430;Красноярск
АСБл 3x95;;9846;Красноярск
АСБл 4x150;;270;Красноярск
АСБл 4x185;;30;Красноярск
АСБЛ 3x240;10кВ;223;Красноярск
АСБл 3x95;10кВ;75;Красноярск
АСБл 4x150;;840;Хабаровск
АСБлГ 3x150;6кВ;67;Красноярск
АСБлШв 3x120;;136;Волгоград
АСБмлШнг 3x150;;60;Волгоград
АСБэ-110 1x50;;120;Владивосток
МКАСБП 4x1.2;;840;Ростов-на-Дону
ЦАСБВнг-LS 3x185;10кВ;155;Санкт-Петербург
ЦАСБЛ 3x70;10кВ;100;Волгоград
ЦАСБл 3x120;10кВ;976;Волгоград
ЦАСБл 3x120;(ож) 10кВ;75;Волгоград
ЦАСБл 3x185;10кВ;898;Волгоград
ЦАСБл 3x240;(ож) 10кВ;4262;Волгоград
ЦАСБл 3x120;;1845;Красноярск
ЦАСБл 3x150;;550;Красноярск
ЦАСБл 3x185;;600;Красноярск
ЦАСБл 4x150;;35;Красноярск
ЦАСБл 4x240;;217;Красноярск
ЦАСБнлШнг 3x185;6кВ;540;Москва
ЦАСБнлШнг 3x240;6кВ;70;Москва
ЦАСБнлШнг 3x120;6кВ;230;Санкт-Петербург
ЦАСБНЛШнг 3x185;;505;Красноярск
